Comment,Emotion,Processed_Comment
i find myself feeling surprised and totally unworthy whenever i see her face,surprise,find feel surprised totally unworthy whenever see face
i feel when you dont talk to me my friend so loyal and free i dont want it to stay like this i want to have that bliss,love,feel not_talk friend loyal free not_want stay like want bliss
i just want to warn you that im feeling rather delicate at the moment so dont expect too much from me,love,want warn feel rather delicate moment not_expect much
i will be thinking of each one of you i will be happy toast and feel my sincere huge magical group hug link rel stylesheet type text css href http jdelivery,joy,think one happy toast feel sincere huge magical group hug link rel stylesheet type text css href http jdelivery
i realised how sick i was of working and feeling and being alone,sadness,realise sick work feel alone
i thinks this chiefs ccw should be yanked by the state as i feel threatened,fear,think chief ccw yank state feel threatened
i start to feel ugly unloved poor and unhappy,sadness,start feel ugly unloved poor unhappy
i feel about my mommy amp me friends our friendships grew so naturally the strength of them surprised me,surprise,feel mommy amp friend friendship grow naturally strength surprise
i have always wanted ice cream when i feel lousy,sadness,always want ice cream feel lousy
i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,joy,feel get know student pretty well talk parent drop student day
i am feeling quite overwhelmed,surprise,feel quite overwhelmed
i can feel the strokes getting harder and faster as i try in vain to find that release,sadness,feel stroke get hard fast try vain find release
i am looking forward to getting baptized maybe but not until i feel devoted and broken in front of the lord,love,look forward getting baptize maybe not_until feel devoted break front lord
ill be whingeing about how much i ache but at least i can feel slightly virtuous about it too,joy,ill whingee much ache least feel slightly virtuous
i can begin to process the emotions i am also feeling from a pregnancy which would have been welcomed if it had been under different physical conditions but these thoughts are for my next blog,joy,begin process emotion also feel pregnancy would welcome different physical condition thought next blog
i feel relaxed at airports are the times the do occasionally occur when i have no luggage especially exceptional luggage,joy,feel relaxed airport time occasionally occur luggage especially exceptional luggage
i don t feel superior to people who have made different choices or threatened by them,joy,feel superior people make different choice threaten
i feel i am not that sociable enough thus for friends wise i guess i do not miss most of them,joy,feel not_that sociable enough thus friend wise guess not_miss
i have a feeling i may be popular with the lady folk,joy,feeling may popular lady folk
i have no idea why am i feeling so aching when i am just thinking about it and the day have not come yet,sadness,idea feel aching think day not_come yet
i feel that im in your heart and you know im worry and caring about you wherever you go unless im following you beside p i really like it when baby text me in sometime that i never thought u will,love,feel heart know worry care wherever unless follow beside really like baby text sometime never think
i will feel triumphant,joy,feel triumphant
i feel like your child is worthless even though they passed the assessments better than anyone who applied with a college education,sadness,feel like child worthless even though pass assessment well anyone apply college education
i care very little about impressing people unless its a person who i feel deserves being impressed,surprise,care little impress people unless person feel deserve impressed
i have a large parcel of time or am feeling reluctant to write i set our kitchen timer for minutes and write until the bell rings,fear,large parcel time feel reluctant write set kitchen timer minute write bell ring
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger,look around disappoint little show evening apparently day feel selfish
i feel like i am doomed for the rest of my life,sadness,feel like doom rest life
i feel if you re learning about your purpose and the workings of this universe and continue to evolve and transcend you will be productive and such along the journey,joy,feel learn purpose working universe continue evolve transcend productive along journey
i have been so busy i feel like i have free time at home,joy,busy feel like free time home
i am made to feel useless,sadness,make feel useless
i feel to you or dad because dad is pissed about the dishes and will in turn belittle the way i feel to simply me being a spoiled little bitch who doesn t do jack around the house,anger,feel dad dad piss dish turn belittle way feel simply spoiled little bitch jack around house
i like to do it makes me feel very out of control and since i went through a stage of not caring about my diabetes and not checking my levels i don t really want to feel like that again,love,like make feel control since go stage not_caring diabetes not_checke level really want feel like
i feel unhappy it is no help for me that other persons say that i am happy how much truth there may be in it,sadness,feel unhappy help person say happy much truth may
i feel so numb that i wonder whether im still human,sadness,feel numb wonder whether still human
i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward,fear,feel like someone strange uncle try break ice party show amazing talent think guest impress turn make everything hundred time awkward
i feel like it s going to be something shockingly amazing,joy,feel like go something shockingly amazing
i read her novels to make me feel relaxed,joy,read novel make feel relaxed
i feel like shes just so distracted but when it comes to my year old brother she waits on him hand and foot,anger,feel like distracted come year old brother wait hand foot
i feel reluctant to share because my experiences feel incomplete especially now that my ideas are making a shift,fear,feel reluctant share experience feel incomplete especially idea make shift
i feel totally exhausted and over tired,sadness,feel totally exhausted tired
i want to stop feeling so worthless,sadness,want stop feel worthless
i hope that by telling them ill find out more about who i am how i got to this place in time and not feel so lost and alone,sadness,hope tell ill find get place time not_feel lost alone
i feel a bit more loving energy inside connecting with you,love,feel bit love energy inside connect
im feeling a little bit melancholy tonight,sadness,feel little bit melancholy tonight
i feel like it must be a popular choice to have alterations done elsewhere,joy,feel like must popular choice alteration do elsewhere
im feeling really shaken up today my stomach hurts ibleeditout i ran into some friends and kodi has been a complete brat,fear,feeling really shake today stomach hurt ibleeditout run friend kodi complete brat
i feel for the natives who welcomed me and others with open arms and hearts back then and wonder how they cope,joy,feel native welcome other open arm heart back wonder cope
i feel as if she isnt faithful but i dont have a reason to should approach her or just wait until i have a reason to approach her,joy,feel not_faithful not_have reason approach wait reason approach
i feel so horrible that you had to go through all that just because you grew up a little earlier than your friends,sadness,feel horrible grow little early friend
i feel so useless to her because the help i want to give her is the kind she doesnt believe in and doesnt want,sadness,feel useless help want give kind not_believe not_want
i feel so jakun that amused me for whole minutes,joy,feel jakun amuse whole minute
i am feeling less than glam at the moment to be reminded of our lovely nuptials last summer,love,feel less glam moment remind lovely nuptial last summer
i feel in my heart and how much im hurt,sadness,feel heart much hurt
i feel like life is too good to be true,joy,feel like life good true
i would take days that i would feel low tuck them away and ignore it rather than sitting in it like i had learned to do in the past to get through these moments,sadness,would take day would feel low tuck away ignore rather sit like learn past get moment
i hate struggling to enjoy life but at the same time i feel guilty when i do,sadness,hate struggle enjoy life time feel guilty
i used feel frustrated all the time,anger,use feel frustrated time
i knew i needed to get over there but had been dragging my feet a combo of feeling intimidated by the language barrier and the kids nap schedules,fear,know need get drag foot combo feeling intimidate language barrier kid nap schedule
i was feeling beaten up by life yesterday you see i am in love with a schizofrenic man who i had to kick out of my house for having boisterous fights with himself,sadness,feeling beat life yesterday see love schizofrenic man kick house boisterous fight
i was feeling very overwhelmed about what i was going to do about removing things from the house i am selling in maryland,fear,feel overwhelmed go remove thing house sell maryland
i began to feel less anxious,fear,begin feel less anxious
i feel some super shifting some super circles,joy,feel super shift super circle
i started feeling reluctant to go because i wanted to spend some time with my family before i left,fear,start feel reluctant want spend time family leave
i feel so unimportant which im probably am,sadness,feel unimportant probably
i need to remember something feel like it and not be distracted simultaneously before it happens,anger,need remember something feel like not_be distract simultaneously happen
i feel that we are often at the forefront of what soon becomes popular,joy,feel often forefront soon become popular
im still feeling quite lively,joy,still feel quite lively
i quite like to do it standing on public transport or busy places when you often feel your space being invaded which can make you feel stressed,sadness,quite like stand public transport busy place often feel space invade make feel stress
i could feel safe enough doing so,joy,could feel safe enough
i wake up feeling triumphant,joy,wake feel triumphant
i feel very apprehensive,fear,feel apprehensive
i feel is hostile kinship or mounting nausea did you know that back means the binding itself,anger,feel hostile kinship mount nausea know back mean bind
i feel like im being punished if i have to sit facing the wall,sadness,feel like punish sit face wall
i feel grouchy now the football fans have woken me up from the customary sunday siesta,anger,feel grouchy football fan wake customary sunday siesta
i feel blessed to see darn good talent right here,love,feel blessed see darn good talent right
i am starting to feel a bit disheartened with my progress on my physical tbr there are still boxes of books next to my bed and they are not going away as fast as i want them to,sadness,start feel bit disheartened progress physical tbr still box book next bed not_goe away fast want
im not always able capture the essence of the way i see the world in writing i feel that my weird way of thinking has been generally consistent throughout my short years,fear,not_always able capture essence way see world write feel weird way thinking generally consistent throughout short year
i feel so uptight around my family,fear,feel uptight around family
ive been feeling very intimidated and overwhelmed by the workload this semester and so ive just been avoiding doing what i need to,fear,feel intimidate overwhelm workload semester avoid need
i have noticed improvement is in the gabapentin and last nights dose of zonisamide which left me feeling very relaxed,joy,notice improvement gabapentin last night dose zonisamide leave feel relaxed
i feel especially passionate about,love,feel especially passionate
i am worried that you might feel pressured or obligated that wasnt my intention and i am sensitive to your situation,fear,worried might feel pressured obligate not_my intention sensitive situation
i just feel too stubborn to give up on a dream,anger,feel stubborn give dream
i started to feel super emotional all the time which was so strange,joy,start feel super emotional time strange
i feel the need to be distracted,anger,feel need distract
im supposed to stay in the lively room but as an explorer i feel that the lively room simply does not have enuff to offer me and have decided to move on to the stairs bedrooms and baffroom,joy,suppose stay lively room explorer feel lively room simply not_have enuff offer decide move stair bedroom baffroom
ive been at home for almost a week now from the hospital though and i feel the need to divulge info to devoted readers who have felt starved for my stylings,love,home almost week hospital though feel need divulge info devoted reader feel starve styling
i woke up at around am or am the next day crunched at the bed because i was feeling a terrible headache so painful i was awaken from my sleep,sadness,wake around next day crunch bed feel terrible headache painful awaken sleep
i feel amused and kind of tired still in the morning i,joy,feel amused kind tired still morning
i don t understand why musicians sometimes feel inhibited,fear,understand musician sometimes feel inhibited
i feel shy of my broken english,fear,feel shy broken english
i forgot to take it yesterday so this morning i took two i feel super sick now,joy,forgot take yesterday morning take two feel super sick
i really loved the day which made me feel such gratitude that we were having such a wonderful day which made me feel very happy,joy,really love day make feel gratitude wonderful day make feel happy
i feel so regretful not going but,sadness,feel regretful not_going
i would feel the speech is successful if its very uplifting and gives props to the graduating class,joy,would feel speech successful uplifting give prop graduating class
i feel super glued to my bed,joy,feel super glue bed
i have a bunch of ideas but at the same time i feel intimidated because i am just a freshman and apparently know nothing about anything,fear,bunch idea time feel intimidate freshman apparently know nothing anything
i feel irritated and helpless,anger,feel irritated helpless
i walked away from them feeling discouraged about how technology seems to have replaced relationships in so many ways lately and what did i do,sadness,walk away feel discourage technology seem replace relationship many way lately
i could feel this way but i honestly believe that he was and is a very violent and dangerous man,anger,could feel way honestly believe violent dangerous man
i am feeling a bit unsure about some of these im going to give it a try anyway,fear,feel bit unsure go give try anyway
i was feeling productive,joy,feel productive
i mean think about how that would feel that would be stupid embarrassing,sadness,mean think would feel would stupid embarrassing
im excited and i feel like this is a project that i can be passionate about and totally immerse myself in,love,excited feel like project passionate totally immerse
i experienced that feeling that people get when they are charmed or attracted to someone and that time was enough and a blessing in itself for me,joy,experience feeling people get charm attract someone time enough blessing
ive definitely been feeling low this past week because ive been sick ever since bfd but im determined to get my health back,sadness,definitely feel low past week sick ever since bfd determined get health back
i cant seem to command it a feeling im sure anyone can relate to,joy,not_seem command feeling sure anyone relate
im strictly on coke and jo still feeling a tad delicate after last nights bucket of doom anaesthetic,love,strictly coke still feel tad delicate last night bucket doom anaesthetic
i walked away feeling a little dismayed but ive got a mission to carry out now,sadness,walk away feel little dismayed get mission carry
i am feeling terrific at the moment,joy,feel terrific moment
i feel i must apologise as i was a little giggly tonight and received a raised eyebrow from a sensible member of the youth orchestra,joy,feel must apologise little giggly tonight receive raise eyebrow sensible member youth orchestra
im feeling more stressed,sadness,feel stressed
i feel so hated and useless sometimes i even ask myself why havent i killed myself yet,anger,feel hated useless sometimes even ask not_i kill yet
i want to feel affectionate,love,want feel affectionate
i am feeling a little adventurous so i will try to see if we can spook our pretty lady,joy,feel little adventurous try see spook pretty lady
when they changed my office to another room without my agreement,anger,change office another room without agreement
i feel sorry for the rest of us in second life who understand that without more support for first time users our world will continue on its slow death spiral,sadness,feel sorry rest second life understand without support first time user world continue slow death spiral
i do feel amused by all the different debates going on but on the other hand i felt that theres something missing,joy,feel amuse different debate go hand feel something miss
i really think each and every person can begin to sympathise with bernards character on which ever level this might be just because its part of being human to experience self doubt and feel worthless and ultimately unnecessary without purpose,sadness,really think every person begin sympathise bernard character ever level might part human experience self doubt feel worthless ultimately unnecessary without purpose
i feel honored that you accept my invitation,joy,feel honored accept invitation
i feel like i am in ludicrous speed,sadness,feel like ludicrous speed
i often feel the need to defend just about anything even in casual conversation like blue s from the color code are usually christmas fanatics and i jump in and,joy,often feel need defend anything even casual conversation like blue color code usually christmas fanatic jump
i forgot to feel sentimental about my line being pulled,sadness,forget feel sentimental line pull
i love sunshine havent had much but the feeling of it on my shoulders as i walk around the yard is amazing,surprise,love sunshine not_had much feeling shoulder walk around yard amazing
i prayed for love for the people that i was feeling bitter towards and that they would find what was best for them,anger,pray love people feel bitter towards would find good
i feel so pretty and glamorous,joy,feel pretty glamorous
i asked feeling smug,joy,ask feel smug
ive ever worked on and i feel very privileged to work with such an amazing team,joy,ever work feel privileged work amazing team
i feel i am beyond pissed off disappointed frustrated with myself,anger,feel beyond piss disappointed frustrated
i feel left alone,sadness,feel left alone
i ain t shot a bitch since this morning so i m feelin a little gun horny,love,shoot bitch since morning feelin little gun horny
i feel lonely i remember my moms saying,sadness,feel lonely remember mom say
i didnt cry but i was starting to feel neurotic so my sister who was amazingly chill that morning brought me an ativan,fear,not_cry start feel neurotic sister amazingly chill morning bring ativan
i can t make myself feel joyful but i can focus on the positive,joy,make feel joyful focus positive
i do feel a little needy,sadness,feel little needy
i feel as the author is very passionate about his poem because when he wrote his poem he wrote from his feeling and history,joy,feel author passionate poem write poem write feeling history
i instead feel restless,fear,instead feel restless
i also feel proud of her,joy,also feel proud
i suppose thats wonderful because it means that they can learn so much so quickly and also make me feel like an idiot much the way i did to my parents when they couldnt figure out how to leave an outgoing message on the answering machine,joy,suppose wonderful mean learn much quickly also make feel like idiot much way parent not_figure leave outgoing message answer machine
i asked feeling slightly wimpy,fear,ask feel slightly wimpy
i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,fear,confess feeling still not_bring scared lose
i know its the lot of the dumpee to feel slighted jealous unable to move on depressed angry and a whole bunch of other negative emotions that stem from the whole rejection and sometimes replacement involved in the break up process,anger,know lot dumpee feel slighted jealous unable move depressed angry whole bunch negative emotion stem whole rejection sometimes replacement involve break process
i feel lonely so unbearably crushingly lonely you are not the only one a href http creativeliar,sadness,feel lonely unbearably crushingly lonely not_the one href http creativeliar
i feel about putting on brave faces fuck that let s get real,joy,feel put brave face fuck let get real
i was thinking about how you all were watching general conference and i was feeling a bit jealous,anger,think watch general conference feel bit jealous
i know and i feel that its time to wake up to be brave to change my perspective,joy,know feel time wake brave change perspective
i shall have to stay feeling neglectful of all things art related,sadness,shall stay feel neglectful thing art relate
i also find that during those times when i feel victimized by his loss i dont feel him near me at all,sadness,also find time feel victimize loss not_feel near
i feel like everything i do i will make a mistake and i will be punished,sadness,feel like everything make mistake punish
i mean i already did of course but i feel more glamourous naked now,joy,mean already course feel glamourous naked
i feel decently intelligent,joy,feel decently intelligent
i dont want to pretend i am someone and i am not because i dont feel comfortable,joy,not_want pretend someone not_because not_feel comfortable
i cherished and enjoyed i didn t have many friends in college and she was my first real friend that made me feel like i was accepted,love,cherish enjoy many friend college first real friend make feel like accept
i want to be positive in the morning i will need to convince my subconscious into believing i am feeling terrific,joy,want positive morning need convince subconscious believe feel terrific
i feel helpless at the same time wherein practically no other option than to just sit and watch the drama,fear,feel helpless time wherein practically option sit watch drama
i kind of struggled with it though and didnt feel like it was super powerful,joy,kind struggle though not_feel like super powerful
i woke up this morning feeling like the unfortunate drain cover that a href http www,sadness,wake morning feeling like unfortunate drain cover href http
i just havent been taking much action in my life rather leaving it at status quo probably not a good idea but i feel that things exist at such a delicate balance that i am afraid if i lunge for what i want the whole thing will crumble and i will be worse off than before,love,not_been take much action life rather leave status quo probably not_a good idea feel thing exist delicate balance afraid lunge want whole thing crumble bad
i finally realized that all i needed was to be and feel useful and blogging allowed me to do that,joy,finally realize need feel useful blogge allow
i go on these walks with my mother in the evenings i feel this frantic anxious energy from her as if shes losing her daughter and doesnt know how to win her back,fear,walk mother evening feel frantic anxious energy lose daughter not_know win back
i should feel awful about the nonexistence of gods,sadness,feel awful nonexistence god
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy,sneakily listen mas music since beginning october feel little socially acceptable prance around eartha kitt version santa baby blare ipod
i miss them like crazy every time i think about them i feel a sense of melancholy a fervent yearning to see them to be by their side to know how they are doing,sadness,miss like crazy every time think feel sense melancholy fervent yearning see side know
i feel a little overwhelmed,fear,feel little overwhelmed
i feel that were like sweet couple,love,feel like sweet couple
i am yelling at my kids at the drop of a hat for no reason possess no energy to do anything just feeling irritable and sad about everything,anger,yell kid drop hat reason possess energy anything feel irritable sad everything
i feel like ive been kinda listless,sadness,feel like kinda listless
i finished checking in bruce had already left and yiling was just leaving so i don t feel i had a chance to properly thank them for being so considerate and making sure we got settled in,joy,finish check bruce already leave yiling leave feel chance properly thank considerate make sure get settle
i did feel for her but honestly i was just too glad to have some kind of salvation from the merciless sun,joy,feel honestly glad kind salvation merciless sun
i feel lethargic and do not really look forward to anything or take joy in anything and i kinda felt like that last night,sadness,feel lethargic not_really look forward anything take joy anything kinda feel like last night
i didn t sleep well the night before and am not feeling half as brave as i was yesterday,joy,sleep well night not_feele half brave yesterday
i think about it with the anticipation i was feeling yesterday its kind of a miracle that i didnt like fake an injury or something just to be able to go to the hospital to see them,sadness,think anticipation feel yesterday kind miracle not_like fake injury something able hospital see
i also feel that the people in the village friendly and i do not need to be as alert as in manila though as the common sense rule still stays that is not to let your guard down,joy,also feel people village friendly not_need alert manila though common sense rule still stay not_to let guard
i walk in the door to my house i feel happy,joy,walk door house feel happy
i feel very deprived i feel like i did so many things right amp so many things just went wrong,sadness,feel deprived feel like many thing right amp many thing go wrong
i also feel useless and unfulfilled,sadness,also feel useless unfulfilled
i am left feeling happy about having the time to rest and take care of me but at the same time this huge sense of guilt builds up inside of me for not having respected our date for being an unreliable teacher a selfish friend,joy,leave feel happy time rest take care time huge sense guilt build inside not_have respect date unreliable teacher selfish friend
i feel much better and without the help of ice,joy,feel much well without help ice
i was just not feeling up to it for a few reasons but i am so glad to be back,joy,not_feele reason glad back
i have to admit that while the story itself was interesting in their portrayal of the well known biblical story i came away feeling a little disappointed with the end result especially considering the names involved,sadness,admit story interesting portrayal well know biblical story come away feel little disappointed end result especially consider name involve
i was feeling super pressed for time the other day i did cut back on the amount of time i meditated but i didn t skip it altogether,joy,feel super press time day cut back amount time meditate skip altogether
i reflect back on all the beer i drank i feel shamed,sadness,reflect back beer drink feel sham
i am not feeling shitty about life anymore,sadness,not_feele shitty life anymore
i feel when ever i listen to the msm main stream media deprived,sadness,feel ever listen msm main stream medium deprive
i feel everything is in control then i am ok,joy,feel everything control
i sent her was pretty long and now i feel a little embarrassed looking back at the letter i gave her,sadness,send pretty long feel little embarrassed look back letter give
i am feeling especially lively,joy,feel especially lively
i have lost touch with the things that i feel passionate about i am getting less spontaneous am living by lists urgh,joy,lose touch thing feel passionate get less spontaneous live list urgh
i feel very distressed because i m supportive of this campaign and with the senator jackson told cnn,fear,feel distressed supportive campaign senator jackson tell cnn
i know that i shouldnt have run around with his dirty socks on a stick like a flag for our friends to see no matter how angry or hurt i was feeling about the dirty laundry that he left me,sadness,know not_have run around dirty sock stick like flag friend see matter angry hurt feel dirty laundry leave
i feel shitty because she quit a job to come here but there is only so much hand holding and training that i am willing to do,sadness,feel shitty quit job come much hand holding training willing
i manage to reach a conclusion after all my musings i feel somehow more resolved,joy,manage reach conclusion musing feel somehow resolved
i dont have to buy it in tubs which feels vile,anger,not_have buy tub feel vile
i feel like a divorcee we were together so long and our separation was so messy,sadness,feel like divorcee together long separation messy
i always tell people my brd armor sucks since i totally feel it does so i was amazed to see some of the crap some brds wear,surprise,always tell people brd armor suck since totally feel amazed see crap brd wear
im already feeling nostalgic about the san antonio spurs golden state warriors series and it hasnt even ended yet,love,already feel nostalgic san antonio spur golden state warrior series not_even end yet
i personally feel they are doomed to finish dead last in the nl central without this key cog to any championship team,sadness,personally feel doom finish dead last central without key cog championship team
i thought this is precisely why i m making the show because i feel very uncertain in the world,fear,think precisely make show feel uncertain world
i remember feeling bowled over and surprised by my own reaction at the tears welling up,surprise,remember feel bowl surprise reaction tear well
i have been a procrastinator i have endless potential and passion inside yet im stuck in the cage of my own soul the unresolved feelings hurt resentment that i hold inside has built up even do i try to build myself back up again,sadness,procrastinator endless potential passion inside yet stuck cage soul unresolved feeling hurt resentment hold inside build even try build back
ive been feeling vaguely dissatisfied with reel pros since i signed up a few weeks ago,anger,feel vaguely dissatisfied reel pro since sign week ago
im feeling particularly generous,joy,feel particularly generous
i went on to the holiday party that evening courtesy of another journalism sibling whom i call my big bro feeling a little unsure on why i was really attending,fear,go holiday party evening courtesy another journalism sible call big bro feel little unsure really attend
i feel like this could be a dangerous topic if anyone feels passionately about pianos but its been on my mind for a while and i thought it was worth discussing not because im going to paint my piano which i grew up with so please stop hyperventilating mom,anger,feel like could dangerous topic anyone feel passionately piano mind think worth discuss not_because go paint piano grow please stop hyperventilate mom
i really only get inspired to write on this blog when im feeling shitty about life and i guess september being my birth month and all was pretty great,sadness,really get inspire write blog feel shitty life guess september birth month pretty great
i feel like being selfish and keeping this foodie secret myself but why would i deny everyone else,anger,feel like selfish keep foodie secret would deny everyone else
im not feeling too joyful about writing this blog because id rather be knitting,joy,not_feele joyful write blog rather knit
i am responsible for picking a man who on occasion reminds me of people from my past like my mom and i threaten myself i can break this pattern by conducting myself in a different way even when i feel scared because deep down i know he s a good man,fear,responsible pick man occasion remind people past like mom threaten break pattern conduct different way even feel scared deep know good man
i am right now i feel amused the sounds i hear are my aircleaner around me i see my bed and my cat i feel most connected to this person michael i think it s weird that im a mom,joy,right feel amused sound hear aircleaner around see bed cat feel connected person michael think weird mom
i feel so contented so fulfilled,joy,feel content fulfilled
ive somehow had a few epiphanies and toned down the need for validation its still a work in progress but i feel less need to be liked by people who dont deserve the attention,love,somehow epiphany tone need validation still work progress feel less need like people not_deserve attention
i didn t feel relieved,joy,feel relieved
i hate feeling dumb i hate people who make me feel dumb or like i am being a baby,sadness,hate feel dumb hate people make feel dumb like baby
i know that i should feel some sort of melancholy but i don t,sadness,know feel sort melancholy
i would feel so excited waiting for the mailman to come to our house handing me these letters,joy,would feel excited wait mailman come house hand letter
i read in the book called the mindful woman that every so often throughout your day you should stop and close your eyes and think about anything that you can hear or see or smell or feel its kind of a cool experiment,joy,read book call mindful woman every often throughout day stop close eye think anything hear see smell feel kind cool experiment
i feel so paranoid i don t want to feel like i did back then ever again,fear,feel paranoid want feel like back ever
i do feel like it is fine to have sex but you should be fully aware of what happen due to that action and know about different types of protection there is to prevent pregnancy,joy,feel like fine sex fully aware happen due action know different type protection prevent pregnancy
i wanted that sacred experience to feel that divine communion with the god of my understanding i wanted to feel sublime love in sacred terms,joy,want sacred experience feel divine communion god understanding want feel sublime love sacred term
i worry theyll feel rejected or take my chosen plans as an insult,sadness,worry feel reject take choose plan insult
i was half feeling very irritated and just wanted to get out of a amp f lol,anger,half feel irritated want get amp lol
i feel i am writing this blog for selfish reasons but i know god can use it for his her purpose,anger,feel write blog selfish reason know god use purpose
i was in i could feel him and i hated the drawn tight feeling i had,anger,could feel hat draw tight feeling
i still feel a craving for sweet food,joy,still feel craving sweet food
i love the wispy feeling of the delicate strands and the mellow green vibe,love,love wispy feeling delicate strand mellow green vibe
i often feel disillusioned but i look upon it as a test of will and a test of character,sadness,often feel disillusioned look upon test test character
i just feel terrified,fear,feel terrified
i honestly have so much research to do and have to think of so many color schemes and how to implement organizational tips for small spaces that i feel more than overwhelmed with the intensity of this project however there is the masochist in me that is incredibly excited,surprise,honestly much research think many color scheme implement organizational tip small space feel overwhelmed intensity project however masochist incredibly excited
i flipped out at guys i feel terrible today i flipped out at guys i feel terrible a href http www,sadness,flip guy feel terrible today flip guy feel terrible href http
i remember consistently feeling dissatisfied with my progress,anger,remember consistently feel dissatisfied progress
i am hoping the running thing works out like the numerous success stories i have accumulated but so far i am not feeling hopeful today,joy,hop run thing work like numerous success story accumulate far not_feele hopeful today
im sure its a great film but i guess i wasnt feeling too appreciative and just had a long day,joy,sure great film guess not_feele appreciative long day
i have hurt so much and been told to stop so much that i suppose it all leaked into my brain and now i feel guilty when i hurt,sadness,hurt much tell stop much suppose leak brain feel guilty hurt
i felt joy when i passed the worst phase in my life and discovered how many people considered me important to them,joy,feel joy pass bad phase life discover many people consider important
i sit around and i feel disillusioned with school,sadness,sit around feel disillusioned school
i ever going to feel cute again,joy,ever go feel cute
i feel like i have been faithful enough that i have proved myself and paid my dues but faith is not stagnate,joy,feel like faithful enough prove pay due faith not_stagnate
i feel it is vital to make the most of that day and live it to our fullest potential,joy,feel vital make day live full potential
i dunno i just feel that i started this blog a little shaky as i wasnt really sure about what sort of audience i was addressing or anything,fear,dunno feel start blog little shaky not_really sure sort audience address anything
im feeling so pissed off that i wanna scream and shout at the wall facing me right now,anger,feel pissed wanna scream shout wall face right
i want every woman to feel the kind of love from god that sheri shares in her letters from the king and i am positive that she does too,joy,want every woman feel kind love god sheri share letter king positive
i feel more self assured but more than that i feel whole,joy,feel self assure feel whole
im loving the green in this picture but have a feeling i may be going with something a little more kid friendly,joy,love green picture feeling may go something little kid friendly
i only have three words to describe my feelings after viewing them im not impressed,surprise,three word describe feeling view not_impresse
i got s and really i feel like i hit the lottery i was scared itd be something like x and id be screwed,fear,get really feel like hit lottery scared something like screw
i feel overwhelmed when i think of a country suffering,fear,feel overwhelmed think country suffer
i feel i am wrongly punished or that my misbehavior was unavoidable i am allowed to argue over whether or not i should be punished or how severely,sadness,feel wrongly punish misbehavior unavoidable allow argue whether not_i punish severely
i am feeling very smug as i am continuing my resolution to use up some of this huge paper stack that i own and never cut into so heres the latest offering using more of my graphic curtain call papers,joy,feel smug continue resolution use huge paper stack never cut here late offering use graphic curtain call paper
i found it hard to feel for any of the supporting cast who eventually became late night snacks for the vampires,love,find hard feel support cast eventually become late night snack vampire
im not feeling very supportive of the football team,love,not_feele supportive football team
i now use it not just at the end of yoga practice but also at the beginning or ending of a meditation or whenever i feel the need to offer myself an acknowledgment and reminder of my own divine origins,joy,use not_just end yoga practice also beginning ending meditation whenever feel need offer acknowledgment reminder divine origin
i do not feel frantic,fear,not_feel frantic
im tired of feeling so lethargic,sadness,tired feel lethargic
i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever,sadness,think would agree feel toe finger numb perhaps one unpleasant feeling ever
i really feel disturbed over all this mayhem as i have been to this heavenly vale twice and personally know all the ground realities,sadness,really feel disturbed mayhem heavenly vale twice personally know ground reality
i feel like a lame bum bum in the sense of a behind not in the sense of a transient because i haven t been keeping up with others blogs,sadness,feel like lame bum bum sense behind not_in sense transient keep other blog
i had it in the bag because i was still feeling strong,joy,bag still feel strong
i still go out sometimes but when i do i come home and cry i can feel how people look at me they know i am worthless too,sadness,still sometimes come home cry feel people look know worthless
i cant shake the im hiding how i feel about myself beneath a fab jacket vibe and this style doesnt mesh well with most of the clothes i wear,joy,not_shake hide feel beneath fab jacket vibe style not_mesh well clothe wear
i do know is that even though its hard and sometimes we feel inadequate drained and like we cant go any further and just need a break even for a week or two,sadness,know even though hard sometimes feel inadequate drain like not_go need break even week two
i kept crying or feeling cranky,anger,keep cry feel cranky
i is celebrated with great fan fare which happens to be january th or october nd disregarding here of course the rare sense of gandhigiri euphoria generated by an unexpected source such as munnabhai we come across the inescapable phrase which i feel has been much abused a hindu fanatic,sadness,celebrate great fan fare happen january october disregard course rare sense gandhigiri euphoria generate unexpected source munnabhai come across inescapable phrase feel much abuse hindu fanatic
i guess this is exactly what being feels like longing to go on adventure but at the same time feeling like you want to settle,love,guess exactly feel like longing adventure time feel like want settle
i was around and feeling fearless and excited,joy,around feel fearless excited
i feel like my printing classes at quiltcon particularly the one with lizzy brought me back to something that i felt so passionate about years ago but had pushed aside thinking i needed to pursue a more practical life,love,feel like printing class quiltcon particularly one lizzy bring back something feel passionate year ago push aside think need pursue practical life
i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery,fear,feel like fearful first throw leg top tube surgery
i don t always have access to when i m feeling stressed which is usually the time i am most in need of the silence,sadness,always access feel stress usually time need silence
